run_id,trade_index,source,ticket,module,type,open,close,lots,openPrice,closePrice,pl,equity,return_pct,peak_return_pct,dyn_peak_pct,campaign_score,checkpoint_hit,state
b6ef72ca3f93,11,all_closed,11,PULLBACK,BUY,2026.02.11 12:00,2026.02.11 12:00,0.32,5062.96,5063.87,19.70,77001.24,10.00,10.00,10.00,5,true,TARGET_HIT
2ba24ff70055,1,all_closed,1,PULLBACK,BUY,2020.01.03 20:00,2020.01.06 01:05,1.52,1548.94,1561.44,1285.57,71285.57,1.84,1.84,1.84,4,false,ACTIVE_CHALLENGE
2ba24ff70055,2,all_closed,2,PULLBACK,BUY,2020.01.06 11:00,2020.01.06 17:30,0.97,1575.77,1565.83,-708.69,70576.88,0.82,2.19,2.19,4,false,ACTIVE_CHALLENGE
2ba24ff70055,3,all_closed,3,MOMENTUM,BUY,2020.01.10 19:00,2020.01.13 09:06,1.28,1560.09,1552.63,-791.15,69785.74,-0.31,2.19,2.19,0,false,ACTIVE_CHALLENGE
2ba24ff70055,4,all_closed,4,PULLBACK,BUY,2020.01.15 14:00,2020.01.15 15:14,2.48,1552.14,1548.32,-698.73,69087.01,-1.30,2.19,2.19,5,false,ACTIVE_CHALLENGE
2ba24ff70055,5,all_closed,5,PULLBACK,BUY,2020.01.16 14:00,2020.01.16 15:32,3.16,1556.36,1553.38,-695.67,68391.34,-2.30,2.19,2.19,4,false,ACTIVE_CHALLENGE
2ba24ff70055,6,all_closed,6,MOMENTUM,BUY,2020.01.31 18:00,2020.01.31 19:01,1.54,1588.20,1582.15,-685.81,67705.53,-3.28,2.19,2.19,5,false,ACTIVE_CHALLENGE
09b413eb0616,1,all_closed,1,PULLBACK,BUY,2020.04.06 19:00,2020.04.06 22:34,0.90,1646.48,1667.61,1393.17,71393.17,1.99,1.99,1.99,4,false,ACTIVE_CHALLENGE
09b413eb0616,2,all_closed,2,PULLBACK,BUY,2020.04.07 10:00,2020.04.07 10:49,0.69,1664.78,1650.82,-707.61,70685.56,0.98,2.27,2.27,5,false,ACTIVE_CHALLENGE
09b413eb0616,3,all_closed,3,PULLBACK,BUY,2020.04.07 14:00,2020.04.09 20:10,0.13,1654.84,1689.30,292.25,70977.81,1.40,2.27,2.27,5,false,ACTIVE_CHALLENGE
09b413eb0616,4,all_closed,4,PULLBACK,BUY,2020.04.13 10:00,2020.04.13 19:31,0.86,1691.02,1713.50,1416.36,72394.17,3.42,3.42,3.42,4,false,ACTIVE_CHALLENGE
09b413eb0616,5,all_closed,5,PULLBACK,BUY,2020.04.14 11:00,2020.04.14 17:25,0.85,1722.74,1745.70,1429.78,73823.95,5.46,5.46,5.46,5,true,PROTECTING_PROFIT
09b413eb0616,6,all_closed,6,MOMENTUM,BUY,2020.04.14 17:30,2020.04.14 18:11,0.61,1742.66,1726.35,-730.75,73093.20,4.42,5.73,5.73,5,true,PROTECTING_PROFIT
09b413eb0616,7,all_closed,7,MOMENTUM,BUY,2020.04.23 18:00,2020.04.23 20:22,0.70,1734.87,1720.70,-728.70,72364.50,3.38,5.73,5.73,5,true,PROTECTING_PROFIT
09b413eb0616,8,all_closed,8,PULLBACK,BUY,2020.04.30 10:00,2020.04.30 15:37,1.07,1717.96,1708.75,-724.62,71639.88,2.34,5.73,5.73,2,true,PROTECTING_PROFIT
09b413eb0616,9,all_closed,9,PULLBACK,BUY,2020.05.08 10:00,2020.05.08 15:45,1.20,1716.98,1710.29,-590.89,71048.99,1.50,5.73,5.73,5,true,FAILED_STANDDOWN
