date,event,event_utc,pos_pct_52w,bucket,bar0_range_atr,bar0_dir,combined_range_atr,combined_dir,combined_signed_atr
2022-10-07,NFP,2022-10-07T12:30:00,90.4,CROWDED_LONG,1.693,-1,1.693,-1,-1.06
2022-10-13,CPI,2022-10-13T12:30:00,86.5,CROWDED_LONG,3.647,1,3.797,1,0.654
2022-11-02,FOMC,2022-11-02T18:00:00,100.0,CROWDED_LONG,3.805,-1,4.119,-1,-1.499
2022-11-04,NFP,2022-11-04T12:30:00,100.0,CROWDED_LONG,3.563,1,4.054,1,3.085
2022-11-10,CPI,2022-11-10T13:30:00,100.0,CROWDED_LONG,4.598,1,4.598,1,4.466
2022-12-02,NFP,2022-12-02T13:30:00,98.1,CROWDED_LONG,2.236,-1,2.236,-1,-0.024
2022-12-13,CPI,2022-12-13T13:30:00,96.2,CROWDED_LONG,3.797,1,3.797,1,2.709
2022-12-14,FOMC,2022-12-14T19:00:00,92.3,CROWDED_LONG,1.684,1,1.958,1,0.763
2023-01-06,NFP,2023-01-06T13:30:00,96.2,CROWDED_LONG,2.9,1,3.695,1,3.384
2023-01-12,CPI,2023-01-12T13:30:00,94.2,CROWDED_LONG,3.337,1,4.201,1,2.693
2023-02-01,FOMC,2023-02-01T19:00:00,96.2,CROWDED_LONG,3.308,1,4.915,1,3.17
2023-02-03,NFP,2023-02-03T13:30:00,96.2,CROWDED_LONG,3.04,-1,3.215,-1,-2.896
2023-02-14,CPI,2023-02-14T13:30:00,100.0,CROWDED_LONG,3.326,-1,3.326,-1,-0.531
2023-03-03,NFP,2023-03-03T13:30:00,94.2,CROWDED_LONG,1.285,-1,1.473,1,0.625
2023-03-14,CPI,2023-03-14T12:30:00,80.8,CROWDED_LONG,1.201,-1,1.219,1,0.463
2023-03-22,FOMC,2023-03-22T18:00:00,90.4,CROWDED_LONG,3.839,1,3.839,1,2.401
2023-04-07,NFP,2023-04-07T12:30:00,84.6,CROWDED_LONG,1.577,-1,1.577,-1,-0.426
2023-04-12,CPI,2023-04-12T12:30:00,100.0,CROWDED_LONG,3.143,1,3.165,1,2.581
