date,event,event_utc,pos_pct_52w,bucket,bar0_range_atr,bar0_dir,combined_range_atr,combined_dir,combined_signed_atr
2022-10-07,NFP,2022-10-07T12:30:00,55.8,NEUTRAL,1.93,1,2.171,1,1.11
2022-10-13,CPI,2022-10-13T12:30:00,44.2,NEUTRAL,3.611,1,3.611,1,1.658
2022-11-02,FOMC,2022-11-02T18:00:00,34.6,NEUTRAL,3.521,1,3.568,1,1.19
2022-11-04,NFP,2022-11-04T12:30:00,34.6,NEUTRAL,2.219,-1,2.224,-1,-1.276
2022-11-10,CPI,2022-11-10T13:30:00,34.6,NEUTRAL,6.158,-1,6.254,-1,-5.795
2022-12-02,NFP,2022-12-02T13:30:00,38.5,NEUTRAL,2.451,1,2.451,1,0.519
2022-12-13,CPI,2022-12-13T13:30:00,40.4,NEUTRAL,4.4,-1,4.4,-1,-3.14
2022-12-14,FOMC,2022-12-14T19:00:00,11.5,CROWDED_SHORT,2.181,1,2.181,1,0.785
2023-01-06,NFP,2023-01-06T13:30:00,30.8,NEUTRAL,2.775,-1,3.187,-1,-2.858
2023-01-12,CPI,2023-01-12T13:30:00,9.6,CROWDED_SHORT,2.803,-1,3.831,-1,-2.565
2023-02-01,FOMC,2023-02-01T19:00:00,1.9,CROWDED_SHORT,2.914,-1,3.176,-1,-1.413
2023-02-03,NFP,2023-02-03T13:30:00,1.9,CROWDED_SHORT,4.558,1,4.579,1,4.251
2023-02-14,CPI,2023-02-14T13:30:00,13.5,CROWDED_SHORT,2.593,1,2.885,1,1.303
2023-03-03,NFP,2023-03-03T13:30:00,53.8,NEUTRAL,1.223,1,1.259,-1,-0.445
2023-03-14,CPI,2023-03-14T12:30:00,75.0,NEUTRAL,1.102,1,1.102,1,0.009
2023-03-22,FOMC,2023-03-22T18:00:00,76.9,NEUTRAL,2.551,-1,2.573,-1,-2.213
2023-04-07,NFP,2023-04-07T12:30:00,65.4,NEUTRAL,1.487,1,1.487,1,1.11
